Date Rptd,DATE OCC,TIME OCC,AREA,AREA NAME,Crm Cd,Crm Cd Desc,Vict Age,Vict Sex,Vict Descent,Premis Cd,Premis Desc
01/08/2020 12:00:00 AM,01/08/2020 12:00:00 AM,2230,3,Southwest,624,BATTERY - SIMPLE ASSAULT,36,F,B,501,SINGLE FAMILY DWELLING
01/02/2020 12:00:00 AM,01/01/2020 12:00:00 AM,330,1,Central,624,BATTERY - SIMPLE ASSAULT,25,M,H,102,SIDEWALK
04/14/2020 12:00:00 AM,02/13/2020 12:00:00 AM,1200,1,Central,845,SEX OFFENDER REGISTRANT OUT OF COMPLIANCE,0,X,X,726,POLICE FACILITY
01/01/2020 12:00:00 AM,01/01/2020 12:00:00 AM,1730,15,N Hollywood,745,VANDALISM - MISDEAMEANOR ($399 OR UNDER),76,F,W,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)"
01/01/2020 12:00:00 AM,01/01/2020 12:00:00 AM,415,19,Mission,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",31,X,X,409,BEAUTY SUPPLY STORE
01/02/2020 12:00:00 AM,01/01/2020 12:00:00 AM,30,1,Central,121,"RAPE, FORCIBLE",25,F,H,735,NIGHT CLUB (OPEN EVENINGS ONLY)
01/02/2020 12:00:00 AM,01/02/2020 12:00:00 AM,1315,1,Central,442,SHOPLIFTING - PETTY THEFT ($950 & UNDER),23,M,H,404,DEPARTMENT STORE
01/04/2020 12:00:00 AM,01/04/2020 12:00:00 AM,40,1,Central,946,OTHER MISCELLANEOUS CRIME,0,X,X,726,POLICE FACILITY
01/04/2020 12:00:00 AM,01/04/2020 12:00:00 AM,200,1,Central,341,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",23,M,B,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)"
06/19/2020 12:00:00 AM,05/26/2020 12:00:00 AM,1925,17,Devonshire,341,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",0,X,X,203,OTHER BUSINESS
01/04/2020 12:00:00 AM,01/04/2020 12:00:00 AM,2200,1,Central,330,BURGLARY FROM VEHICLE,29,M,A,101,STREET
01/05/2020 12:00:00 AM,01/05/2020 12:00:00 AM,955,1,Central,930,CRIMINAL THREATS - NO WEAPON DISPLAYED,35,M,O,108,PARKING LOT
01/05/2020 12:00:00 AM,01/05/2020 12:00:00 AM,1355,1,Central,341,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",41,M,A,503,HOTEL
01/07/2020 12:00:00 AM,01/07/2020 12:00:00 AM,1638,1,Central,648,ARSON,0,X,X,404,DEPARTMENT STORE
