DR_NO,Date Rptd,DATE OCC,TIME OCC,AREA,AREA NAME,Rpt Dist No,Part 1-2,Crm Cd,Crm Cd Desc,Mocodes,Vict Age,Vict Sex,Vict Descent,Premis Cd,Premis Desc,Weapon Used Cd,Weapon Desc,Status,Status Desc,Crm Cd 1,Crm Cd 2,Crm Cd 3,Crm Cd 4,LOCATION,Cross Street,LAT,LON
10304468,1/8/2020,1/8/2020,2230,3,Southwest,377,2,624,BATTERY - SIMPLE ASSAULT,0444 0913,36,F,B,501,SINGLE FAMILY DWELLING,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AO,Adult Other,624,,,,1100 W 39TH PL,,34.0141,-118.2978
190101086,1/2/2020,1/1/2020,330,1,Central,163,2,624,BATTERY - SIMPLE ASSAULT,0416 1822 1414,25,M,H,102,SIDEWALK,500,UNKNOWN WEAPON/OTHER WEAPON,IC,Invest Cont,624,,,,700 S HILL ST,,34.0459,-118.2545
200110444,4/14/2020,2/13/2020,1200,1,Central,155,2,845,SEX OFFENDER REGISTRANT OUT OF COMPLIANCE,1501,0,X,X,726,POLICE FACILITY,,,AA,Adult Arrest,845,,,,200 E 6TH ST,,34.0448,-118.2474
191501505,1/1/2020,1/1/2020,1730,15,N Hollywood,1543,2,745,VANDALISM - MISDEAMEANOR ($399 OR UNDER),0329 1402,76,F,W,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,IC,Invest Cont,745,998,,,5400 CORTEEN PL,,34.1685,-118.4019
191921269,1/1/2020,1/1/2020,415,19,Mission,1998,2,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",329,31,X,X,409,BEAUTY SUPPLY STORE,,,IC,Invest Cont,740,,,,14400 TITUS ST,,34.2198,-118.4468
200100501,1/2/2020,1/1/2020,30,1,Central,163,1,121,"RAPE, FORCIBLE",0413 1822 1262 1415,25,F,H,735,NIGHT CLUB (OPEN EVENINGS ONLY),500,UNKNOWN WEAPON/OTHER WEAPON,IC,Invest Cont,121,998,,,700 S BROADWAY,,34.0452,-118.2534
200100502,1/2/2020,1/2/2020,1315,1,Central,161,1,442,SHOPLIFTING - PETTY THEFT ($950 & UNDER),1402 2004 0344 0387,23,M,H,404,DEPARTMENT STORE,,,IC,Invest Cont,442,998,,,700 S FIGUEROA ST,,34.0483,-118.2631
200100504,1/4/2020,1/4/2020,40,1,Central,155,2,946,OTHER MISCELLANEOUS CRIME,1402 0392,0,X,X,726,POLICE FACILITY,,,IC,Invest Cont,946,998,,,200 E 6TH ST,,34.0448,-118.2474
200100507,1/4/2020,1/4/2020,200,1,Central,101,1,341,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",1822 0344 1402,23,M,B,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,IC,Invest Cont,341,998,,,700 BERNARD ST,,34.0677,-118.2398
201710201,6/19/2020,5/26/2020,1925,17,Devonshire,1708,1,341,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",1300 0202 0378 0325,0,X,X,203,OTHER BUSINESS,,,AO,Adult Other,341,,,,11900 BALBOA BL,,34.2864,-118.5021
200100509,1/4/2020,1/4/2020,2200,1,Central,192,1,330,BURGLARY FROM VEHICLE,1822 1414 0344 1307,29,M,A,101,STREET,306,ROCK/THROWN OBJECT,IC,Invest Cont,330,,,,15TH,OLIVE,34.0359,-118.2648
200100510,1/5/2020,1/5/2020,955,1,Central,111,2,930,CRIMINAL THREATS - NO WEAPON DISPLAYED,0421 0906,35,M,O,108,PARKING LOT,511,VERBAL THREAT,IC,Invest Cont,930,,,,800 N ALAMEDA ST,,34.0615,-118.2412
200100514,1/5/2020,1/5/2020,1355,1,Central,162,1,341,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",1822 0344 2032,41,M,A,503,HOTEL,,,AA,Adult Arrest,341,,,,800 S OLIVE ST,,34.0452,-118.2569
200100515,1/7/2020,1/7/2020,1638,1,Central,162,1,648,ARSON,1402 1501 2004,0,X,X,404,DEPARTMENT STORE,500,UNKNOWN WEAPON/OTHER WEAPON,IC,Invest Cont,648,998,,,700 W 7TH ST,,34.048,-118.2577
200100520,1/8/2020,1/8/2020,1805,1,Central,128,1,442,SHOPLIFTING - PETTY THEFT ($950 & UNDER),0325 1402 0344 1822,24,F,H,252,"COFFEE SHOP (STARBUCKS, COFFEE BEAN, PEET'S, ETC.)",,,IC,Invest Cont,442,,,,100 S LOS ANGELES ST,,34.0515,-118.2424
211916029,11/26/2021,11/30/2020,730,19,Mission,1916,2,626,INTIMATE PARTNER - SIMPLE ASSAULT,2000 1814 0416,24,F,H,501,SINGLE FAMILY DWELLING,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,626,,,,14200 BERG ST,,34.3055,-118.4439
201116159,11/29/2020,11/28/2020,2018,11,Northeast,1124,2,626,INTIMATE PARTNER - SIMPLE ASSAULT,0400 0416 1814 2000,34,F,H,501,SINGLE FAMILY DWELLING,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AO,Adult Other,626,,,,3200 W AVENUE 32,,34.1186,-118.245
200506268,2/22/2020,2/22/2020,1900,5,Harbor,511,1,440,THEFT PLAIN - PETTY ($950 & UNDER),0319 0344 0429 0448 0305,29,F,W,102,SIDEWALK,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,440,624,,,PACIFIC COAST,VERMONT,33.7926,-118.3043
